sku,year,make,model,body_trim,engine_transmission,id
74101AE010,2015,Toyota,RAV4,"LE, Limited, XLE",2.5L L4 - Gas,40044
74101AE010,2015,Toyota,Sienna,"L, LE, Limited, SE, XLE",3.5L V6 - Gas,40045
74101AE010,2015,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5, TRD Pro","4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40046
74101AE010,2015,Toyota,Venza,"LE, Limited, XLE","2.7L L4 - Gas, 3.5L V6 - Gas",40047
74101AE010,2015,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40048
74101AE010,2014,Toyota,Avalon,"Hybrid Limited, Hybrid XLE, Limited, XLE, XLE Premium, XLE Touring","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",46993
74101AE010,2014,Toyota,Camry,"Hybrid LE, Hybrid SE, Hybrid XLE, L, LE, SE, SE Sport, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40051
74101AE010,2014,Toyota,Corolla,"L, LE, LE Eco, Le Eco Plus, S",1.8L L4 - Gas,40052
74101AE010,2014,Toyota,FJ Cruiser,Base,4.0L V6 - Gas,40053
74101AE010,2014,Toyota,Prius,"Five, Four, Three, Two","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",40054
74101AE010,2014,Toyota,RAV4,"EV, LE, Limited, XLE","2.5L L4 - Gas, Electric",40055
74101AE010,2014,Toyota,Sienna,"L, LE, Limited, SE, XLE",3.5L V6 - Gas,40056
74101AE010,2014,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5","4.0L V6 - Gas, 4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40057
74101AE010,2013,Toyota,Avalon,"Hybrid Limited, Hybrid XLE, Limited, XLE, XLE Premium, XLE Touring","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40062
74101AE010,2013,Toyota,Camry,"Hybrid LE, Hybrid XLE, L, LE, SE, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40063
74101AE010,2013,Toyota,Corolla,"L, LE, S",1.8L L4 - Gas,40064
74101AE010,2013,Toyota,FJ Cruiser,Base,4.0L V6 - Gas,40065
74101AE010,2013,Toyota,Highlander,"Base, Hybrid, Hybrid Limited, Limited, Plus, SE","2.7L L4 - Gas, 3.5L V6 - Electric/Gas, 3.5L V6 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40066
74101AE010,2013,Toyota,Matrix,"Base, S","1.8L L4 - Gas, 2.4L L4 - Gas",40067
74101AE010,2013,Toyota,Prius,"Five, Four, Three, Two","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",40068
74101AE010,2013,Toyota,RAV4,"EV, LE, Limited, XLE","2.5L L4 - Gas, Electric",40069
74101AE010,2013,Toyota,Sienna,"Base, L, LE, Limited, SE, XLE",3.5L V6 - Gas,40070
74101AE010,2013,Toyota,Venza,"LE, Limited, XLE","2.7L L4 - Gas, 3.5L V6 - Gas",40071
74101AE010,2013,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40072
74101AE010,2012,Toyota,Camry,"Hybrid LE, Hybrid XLE, L, LE, SE, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40074
74101AE010,2012,Toyota,Corolla,"L, LE, S",1.8L L4 - Gas,40075
74101AE010,2011,Toyota,Corolla,"Base, LE, S",1.8L L4 - Gas,40086
74101AE010,2011,Toyota,FJ Cruiser,Base,4.0L V6 - Gas,40087
74101AE010,2011,Toyota,Highlander,"Base, Hybrid, Hybrid Limited, Limited, SE","2.7L L4 - Gas, 3.5L V6 - Electric/Gas, 3.5L V6 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40088
74101AE010,2011,Toyota,Matrix,"Base, S","1.8L L4 - Gas, 2.4L L4 - Gas",40089
74101AE010,2011,Toyota,Prius,Base,"1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",40090
74101AE010,2011,Toyota,RAV4,"Base, Limited, Sport","2.5L L4 - Gas, 3.5L V6 - Gas",40091
74101AE010,2011,Toyota,Sienna,"Base, LE, Limited, SE, XLE","2.7L L4 - Gas, 3.5L V6 - Gas",40092
74101AE010,2011,Toyota,Venza,Base,"2.7L L4 - Gas, 3.5L V6 - Gas",40093
74101AE010,2010,Toyota,Camry,"Base, Hybrid, LE, SE, XLE","2.4L L4 - Electric/Gas, 2.4L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40095
74101AE010,2010,Toyota,Corolla,"Base, LE, S, XLE, XRS","1.8L L4 - Gas, 2.4L L4 - Gas",40096
74101AE010,2010,Toyota,FJ Cruiser,Base,4.0L V6 - Gas,40097
74101AE010,2010,Toyota,Highlander,"Base, Hybrid, Hybrid Limited, Limited, SE, Sport","2.7L L4 - Gas, 3.3L V6 - Electric/Gas, 3.3L V6 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",47071
74101AE010,2010,Toyota,Matrix,"Base, S, XRS","1.8L L4 - Gas, 2.4L L4 - Gas",40098
74101AE010,2010,Toyota,Prius,Base,"1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",40099
74101AE010,2010,Toyota,RAV4,"Base, Limited, Sport","2.5L L4 - Gas, 3.5L V6 - Gas",40100
74101AE010,2010,Toyota,Sienna,"CE, LE, XLE",3.5L V6 - Gas,40101
74101AE010,2010,Toyota,Venza,Base,"2.7L L4 - Gas, 3.5L V6 - Gas",40102
74101AE010,2009,Toyota,4Runner,"Limited, SR5, Sport","4.0L V6 - Gas, 4.7L V8 - Gas",40104
74101AE010,2009,Toyota,Camry,"Base, Hybrid, LE, SE, XLE","2.4L L4 - Electric/Gas, 2.4L L4 - FULL HYBRID EV-GAS (FHEV), 2.4L L4 - Gas, 3.5L V6 - Gas",40105
74101AE010,2009,Toyota,Corolla,"Base, LE, S, XLE, XRS","1.8L L4 - Gas, 2.4L L4 - Gas",40106
74101AE010,2009,Toyota,FJ Cruiser,Base,4.0L V6 - Gas,40107
74101AE010,2009,Toyota,Highlander,"Base, Hybrid, Hybrid Limited, Limited, Sport","2.7L L4 - Gas, 3.3L V6 - Electric/Gas, 3.3L V6 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40108
74101AE010,2009,Toyota,Matrix,"Base, S, XRS","1.8L L4 - Gas, 2.4L L4 - Gas",40116
74101AE010,2009,Toyota,Prius,"Base, Touring","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40117
74101AE010,2009,Toyota,RAV4,"Base, Limited, Sport","2.5L L4 - Gas, 3.5L V6 - Gas",40118
74101AE010,2016,Scion,FR-S,Base,2.0L H4 - Gas,40028
74101AE010,2016,Scion,iA,Base,1.5L L4 - Gas,40029
74101AE010,2016,Scion,iM,Base,1.8L L4 - Gas,40030
74101AE010,2015,Scion,FR-S,Base,2.0L H4 - Gas,40039
74101AE010,2014,Scion,FR-S,Base,2.0L H4 - Gas,40049
74101AE010,2014,Scion,xD,Base,1.8L L4 - Gas,40050
